description,category
"Gros souci avec le fusible, il ne charge pas.",Electronique
Panne critique : tuyau siffle fort.,Hydraulique
erreur détectée : mise au point est sale.,Optique
"J'ai un problème, le alimentation est brûlant complètement.",Electronique
Il semble que le circuit imprimé sent le brûlé depuis ce matin.,Electronique
erreur détectée : capteur est flou.,Optique
Panne critique : valve fuit.,Hydraulique
Il semble que le base de données a planté depuis ce matin.,Software
erreur détectée : bouton power a grillé.,Electronique
défaut sur alimentation : il est brûlant.,Electronique
"Impossible d'utiliser la machine, le connexion boucle à l'infini.",Software
défaut sur tuyau : il n'aspire plus.,Hydraulique
"Attention, pompe qui n'aspire plus !",Hydraulique
"J'ai un problème, le viseur est cassé complètement.",Optique
Panne critique : zoom est désaligné.,Optique
défaut sur serveur : il ne répond pas.,Software
Défaut sur mise à jour : il boucle à l'infini.,Software
"impossible d'utiliser la machine, le serveur est lent.",Software
erreur détectée : prisme est bloqué.,Optique
le câble usb surchauffe.,Electronique
Panne critique : résistance sent le brûlé.,Electronique
Défaut sur pompe : il refoule du liquide.,Hydraulique
Le client signale que le mise à jour boucle à l'infini.,Software
Défaut sur mise au point : il est flou.,Optique
le vanne fuit.,Hydraulique
il semble que le pompe a éclaté depuis ce matin.,Hydraulique
"J'ai un problème, le focus est voilé complètement.",Optique
Le windows boucle à l'infini.,Software
"impossible d'utiliser la machine, le base de données a planté.",Software
le client signale que le focus est désaligné.,Optique
Panne critique : disjoncteur a explosé.,Electronique
Le licence est corrompu.,Software
Erreur détectée : obturateur manque de netteté.,Optique
Il semble que le système renvoie une erreur 404 depuis ce matin.,Software
"gros souci avec le windows, il est corrompu.",Software
Le fusible a grillé.,Electronique
erreur détectée : système a planté.,Software
Panne critique : filtre n'aspire plus.,Hydraulique
le lentille ne fait plus le point.,Optique
défaut sur prisme : il a des taches.,Optique
panne critique : serveur est lent.,Software
il semble que le bouton power ne répond plus depuis ce matin.,Electronique
Erreur détectée : diaphragme est désaligné.,Optique
Le client signale que le bouton power clignote en rouge.,Electronique
"j'ai un problème, le linux est lent complètement.",Software
Le client signale que le valve est sec.,Hydraulique
erreur détectée : licence a crashé.,Software
"j'ai un problème, le tuyau est bouché complètement.",Hydraulique
il semble que le condensateur a fondu depuis ce matin.,Electronique
"attention, batterie qui est brûlant !",Electronique
le vérin fuit.,Hydraulique
Le client signale que le serveur a crashé.,Software
"Attention, mise à jour qui est corrompu !",Software
"Gros souci avec le miroir, il a de la poussière interne.",Optique
"Attention, manomètre qui fuit !",Hydraulique
Défaut sur viseur : il est désaligné.,Optique
Le client signale que le batterie a grillé.,Electronique
"j'ai un problème, le réservoir n'aspire plus complètement.",Hydraulique
"Gros souci avec le base de données, il renvoie une erreur 404.",Software
"Attention, base de données qui a planté !",Software
Le obturateur est désaligné.,Optique
"gros souci avec le focus, il a des taches.",Optique
Il semble que le vanne est bouché depuis ce matin.,Hydraulique
Erreur détectée : système a crashé.,Software
Erreur détectée : valve refoule du liquide.,Hydraulique
il semble que le vérin perd de la pression depuis ce matin.,Hydraulique
"gros souci avec le serveur, il a expiré.",Software
"j'ai un problème, le image est bloqué complètement.",Optique
il semble que le vanne refoule du liquide depuis ce matin.,Hydraulique
"gros souci avec le capteur, il manque de netteté.",Optique
"gros souci avec le windows, il a expiré.",Software
"attention, image qui est rayé !",Optique
"Gros souci avec le viseur, il est bloqué.",Optique
Erreur détectée : connexion est corrompu.,Software
erreur détectée : linux a crashé.,Software
"gros souci avec le circuit d'huile, il est grippé.",Hydraulique
"attention, connexion qui ne démarre pas !",Software
erreur détectée : linux est corrompu.,Software
Défaut sur lentille : il est flou.,Optique
"Gros souci avec le condensateur, il a grillé.",Electronique
"gros souci avec le driver, il a planté.",Software
panne critique : diaphragme est déformé.,Optique
"Attention, tuyau qui refoule du liquide !",Hydraulique
Défaut sur focus : il est sale.,Optique
il semble que le piston est bouché depuis ce matin.,Hydraulique
Il semble que le piston vibre énormément depuis ce matin.,Hydraulique
Défaut sur mise au point : il est déformé.,Optique
"attention, logiciel qui a expiré !",Software
"impossible d'utiliser la machine, le driver ne répond pas.",Software
"Gros souci avec le mise au point, il est désaligné.",Optique
panne critique : circuit imprimé sent le brûlé.,Electronique
"Gros souci avec le circuit d'huile, il est grippé.",Hydraulique
"J'ai un problème, le driver demande un mot de passe complètement.",Software
"impossible d'utiliser la machine, le transformateur a fondu.",Electronique
le vanne est grippé.,Hydraulique
Le viseur est désaligné.,Optique
Erreur détectée : raccord n'aspire plus.,Hydraulique
il semble que le interface est lent depuis ce matin.,Software
erreur détectée : objectif ne fait plus le point.,Optique
"impossible d'utiliser la machine, le joint refoule du liquide.",Hydraulique
Le client signale que le focus est sale.,Optique
Panne critique : miroir est rayé.,Optique
"Gros souci avec le connexion, il renvoie une erreur 404.",Software
"j'ai un problème, le vérin perd de la pression complètement.",Hydraulique
"j'ai un problème, le valve a éclaté complètement.",Hydraulique
Le client signale que le raccord a éclaté.,Hydraulique
défaut sur zoom : il ne fait plus le point.,Optique
panne critique : circuit imprimé sent le brûlé.,Electronique
"Impossible d'utiliser la machine, le joint est sec.",Hydraulique
"Impossible d'utiliser la machine, le interface demande un mot de passe.",Software
"gros souci avec le piston, il n'aspire plus.",Hydraulique
"impossible d'utiliser la machine, le circuit imprimé est brûlant.",Electronique
Défaut sur viseur : il a des taches.,Optique
"j'ai un problème, le circuit d'huile est grippé complètement.",Hydraulique
"Attention, connecteur de charge qui sent le brûlé !",Electronique
panne critique : circuit d'huile est percé.,Hydraulique
Le client signale que le joint vibre énormément.,Hydraulique
"Gros souci avec le logiciel, il boucle à l'infini.",Software
"attention, câble usb qui est brûlant !",Electronique
"Gros souci avec le circuit d'huile, il n'aspire plus.",Hydraulique
"attention, connexion qui est lent !",Software
"Impossible d'utiliser la machine, le windows affiche un écran bleu.",Software
Le client signale que le circuit imprimé est noirci.,Electronique
"j'ai un problème, le connexion a planté complètement.",Software
"impossible d'utiliser la machine, le prisme est voilé.",Optique
Erreur détectée : fusible ne répond plus.,Electronique
"impossible d'utiliser la machine, le serveur ne répond pas.",Software
Erreur détectée : disjoncteur sent le brûlé.,Electronique
"j'ai un problème, le filtre est sec complètement.",Hydraulique
Le batterie a explosé.,Electronique
"J'ai un problème, le circuit d'huile perd de la pression complètement.",Hydraulique
panne critique : capteur est rayé.,Optique
"attention, résistance qui ne répond plus !",Electronique
le système affiche un écran bleu.,Software
"impossible d'utiliser la machine, le bouton power fait des étincelles.",Electronique
"Impossible d'utiliser la machine, le viseur ne fait plus le point.",Optique
"Gros souci avec le condensateur, il a grillé.",Electronique
